VI. Positive Comments,VII. Suggestions/Recommendations for Improvement
The best ang giveaways!,Decent ang certificates.
Highly recommended ang program!,Decent ang management.
Great lighting! worth it ang oras ko,Gubot ang certificates.
wonderful kaayo ang program!,Bati kaayo ang execution kay ang haba ng pila.
Ang excellent ng registration!,Pwede na ang games.
Perfect ang seating!,Gubot ang host.
Lingaw kaayo ang execution kay ang babait ng staff.,Terrible ang planning!
Lingaw kaayo ang seating kay lami ang pagkaon.,Medyo okay naman ang execution.
Great facilitators! lami ang pagkaon,Normal ra ang logistics.
Lingaw kaayo ang activities kay everything ran on time.,Pwede na ang aircon.
Ang brilliant ng flow!,Never again!
Lingaw kaayo ang management kay worth it ang oras ko.,Hindi maayos ang host. hinay ang mic
Great logistics! the host was funny,Complete waste of time. The aircon was disappointing.
10/10 ang giveaways!,Sayang ang sound system kay nawala ang kuryente.
Great snacks! limpyo ang lugar,Sayang ang aircon kay the speaker was boring.
incredible kaayo ang certificates!,Complete waste of time. The venue was bati.
Amazing ang sound system!,Terrible ang organizers!
Great event! naay daghang freebies,Never again sa games!
Sobrang lingaw ng venue!,Pwede na.
Sobrang superb ng host!,The execution was boring because disorganized flow.
Amazing ang speaker!,Okay ra ang giveaways.
Nalingaw jud ko sa certificates. limpyo ang lugar,Sayang ang food kay the speaker was boring.
10/10 ang execution!,Init kaayo sa snacks.
fabulous kaayo ang planning!,Sayang ang snacks kay saba ang palibot.
organized kaayo ang speaker!,Gubot ang event.
Solid ang facilitators!,Bati kaayo ang management kay started late.
10/10 ang planning!,Medyo okay naman ang seminar.
The flow was very fun!,Bati kaayo ang aircon kay saba ang palibot.
Ang superb ng execution!,Ang disappointing ng seating! the speaker was boring
Ang brilliant ng venue!,Awful ang discussion!
Sobrang fabulous ng aircon!,Average ang food. Met basic expectations.
Nalingaw jud ko sa giveaways. everything ran on time,Decent ang event.
Perfect ang registration!,Medyo okay naman ang program.
smooth kaayo ang aircon!,The discussion was okay. Nothing special.
Ang limpyo ng snacks!,Nakakabored ang aircon kasi saba ang palibot.
Lingaw kaayo ang logistics kay naay daghang freebies.,Okay ra ang management.
lingaw kaayo ang seminar!,Medyo okay naman ang facilitators.
Amazing ang seminar!,Hindi maayos ang lighting. walay makan-an
Lingaw kaayo ang organizers kay may natutunan ako.,Complete waste of time. The planning was horrible.
Great event! organized ang tanan,Sakto lang ang snacks.
nindot kaayo ang certificates!,The logistics was okay. Nothing special.
Amazing ang venue!,Sayang ang certificates kay hinay ang mic.
brilliant kaayo ang games!,The certificates was okay. Nothing special.
Solid ang prizes!,Terrible ang snacks!
Great!,Okay ra ang registration.
Highly recommended ang facilitators!,Average ang giveaways. Met basic expectations.
Nalingaw jud ko sa program. the host was funny,Gubot ang flow.
Lingaw kaayo ang seating kay limpyo ang lugar.,Complete waste of time. The giveaways was gubot.
Lingaw kaayo ang flow kay organized ang tanan.,Sakto lang ang organizers.
Perfect ang management!,Never again sa organizers!
Great prizes! the speaker was clear,Awful ang workshop!
Maayo kaayo ang food.,Decent ang giveaways.
Sobrang fabulous ng food!,Pwede na ang seminar.
Sobrang fun ng activities!,Sakto lang ang food.
Nalingaw jud ko sa prizes. ang babait ng staff,Awful ang host!
Great giveaways! lami ang pagkaon,Decent ang prizes.
Amazing ang activities!,Sakto lang ang facilitators.
Ang great ng program!,Init!
The best ang activities!,Could be better but acceptable.
Maayo kaayo ang discussion.,Average ang event. Met basic expectations.
The logistics was very brilliant!,Nakakabored ang activities kasi init kaayo.
Great certificates! lami ang pagkaon,Sakto lang ang sound system.
Great speaker! lami ang pagkaon,Sayang ang venue kay disorganized flow.
Lingaw kaayo ang logistics kay may natutunan ako.,Init kaayo sa seminar.
Sobrang great ng venue!,Sayang ang certificates kay disorganized flow.
Ang saya ng event!,Ang frustrating ng sound system! nawala ang kuryente
Ang saya ng prizes!,Init kaayo sa registration.
Perfect ang host!,Gubot ang venue.
Solid ang workshop!,Normal ra ang seating.
Sobrang outstanding ng facilitators!,Sayang ang host kay walay makan-an.
wonderful kaayo ang flow!,Sakto lang ang games.
Sobrang brilliant ng registration!,Okay ra ang logistics.
The best ang seating!,Nakakabored ang execution kasi started late.
Ang lingaw ng venue!,Init kaayo sa lighting.
Maayo kaayo ang prizes.,Hindi maayos ang event. saba ang palibot
Nalingaw jud ko sa event. may natutunan ako,Complete waste of time. The host was disappointing.
wonderful kaayo ang certificates!,Normal ra ang workshop.
Great sound system! worth it ang oras ko,Terrible ang lighting!
Sobrang superb ng planning!,Complete waste of time. The snacks was chaotic.
Solid ang activities!,Never again sa aircon!
The execution was very amazing!,Sayang ang sound system kay init kaayo.
Ang saya ng activities!,Okay.
organized kaayo ang host!,Decent ang execution.
