comment,sentiment
The event was amazing and well organized!,positive
Great food and excellent venue,positive
The speakers were informative and engaging,positive
Very disappointed with the lack of organization,negative
The food was terrible and the venue was too small,negative
I didn't like how long the program was,negative
"It was okay, nothing special",neutral
"Average event, could be better",neutral
Not bad but not great either,neutral
The secretariat staff were very helpful,positive
The registration process was smooth,positive
Waiting time was too long,negative
Poor acoustics made it hard to hear,negative
The event was informative but a bit boring,neutral
